120 -14.941725,-7.975507,3.419017 -0.660886 -0.282405 0.247191
121 -17.068933,-2.409545,1.119554 -0.301247 -0.081024 -0.246641
122 -4.671741,-16.635469,0.436467 -0.441358 -0.594562 0.001829
123 -13.911197,-9.386615,4.118711 -0.658915 -0.194461 0.251046
124 -15.208888,-7.323568,3.687304 -0.685428 -0.297132 0.208687
125 -15.760376,-6.351995,3.126688 -0.664795 -0.362029 0.177495
126 -4.224716,-16.729626,1.017412 -0.419992 -0.614924 0.015619
127 -14.155354,-9.017643,4.110108 -0.668525 -0.198952 0.244963
128 -3.879537,-16.785593,1.401016 -0.402959 -0.636958 0.023457
129 -14.691944,-8.202061,3.928978 -0.686541 -0.235462 0.231702
130 -5.496243,-15.549354,5.174827 -0.585941 -0.506863 0.238387
131 -14.891100,-7.645877,4.283725 -0.718428 -0.251717 0.207498
132 -15.172509,-7.050080,4.316535 -0.731254 -0.307494 0.173902
133 -15.866409,-5.809749,3.606910 -0.702192 -0.374389 0.142129
134 -15.510128,-6.507989,3.950584 -0.718215 -0.366355 0.154346
135 -3.838460,-16.732889,2.012687 -0.407392 -0.648432 0.048018
136 -12.870243,-10.386457,5.010547 -0.666660 -0.195283 0.255358
137 -3.504938,-16.781469,2.208219 -0.387055 -0.682169 0.049324
138 -13.564770,-9.513349,4.908991 -0.686286 -0.183383 0.245307
139 -13.114185,-10.029346,5.103902 -0.677280 -0.188551 0.253107
140 -14.028471,-8.729518,5.058198 -0.732118 -0.191431 0.232405
141 -4.122481,-15.925931,5.306140 -0.499938 -0.571678 0.219878
142 -4.956255,-15.658850,5.386322 -0.561170 -0.524469 0.235622
143 -16.311281,-4.470584,3.525816 -0.733552 -0.280751 0.170057
144 -13.656944,-9.162157,5.305047 -0.717352 -0.182034 0.238006
145 -14.142424,-8.338148,5.389733 -0.762632 -0.196701 0.233467
146 -16.391239,-4.022264,3.689961 -0.753917 -0.252387 0.187748
147 -15.252111,-6.298907,5.121444 -0.805181 -0.413636 0.022802
148 -16.836399,-2.828763,2.639078 -0.489601 -0.164239 -0.050271
149 11.974823,-3.663147,11.909993 0.321191 -0.013050 -0.089320
150 -15.603704,-5.575389,4.894188 -0.770345 -0.585189 -0.122028
151 -16.895208,-2.488916,2.603951 -0.443837 -0.134415 -0.093859
152 9.692154,-3.741900,13.810546 0.239154 -0.008677 0.003567
153 3.740986,6.759896,15.451489 0.128337 0.203192 -0.234178
154 2.870531,8.298059,14.876185 0.110121 0.207213 -0.221099
155 4.648888,6.147332,15.461398 0.130973 0.200915 -0.206923
156 4.344875,6.887458,15.235579 0.125696 0.206005 -0.205953
157 2.138742,9.907777,13.986268 0.085545 0.203857 -0.197618
158 1.955854,9.259217,14.450336 0.092761 0.205402 -0.216301
159 4.804506,6.616160,15.218038 0.128005 0.203925 -0.192561
160 1.695953,11.567370,12.713218 0.064395 0.187896 -0.188837
161 6.092545,5.240657,15.293694 0.138079 0.186319 -0.154554
162 9.528862,-2.252797,14.239684 0.221641 0.034576 -0.021173
163 10.077917,-1.714747,13.932940 0.235099 0.042568 -0.039594
164 12.524220,-1.597304,11.798903 0.313018 0.046743 -0.139295
165 4.655331,7.796985,14.695258 0.121395 0.210105 -0.178682
166 2.269941,11.566497,12.624248 0.078053 0.194679 -0.184883
167 12.038134,-1.618993,12.291720 0.296654 0.043845 -0.111966
168 1.917738,12.191924,12.081723 0.068938 0.183266 -0.189871
169 6.208988,5.520139,15.147628 0.138275 0.189357 -0.149674
170 2.273926,12.162932,12.049193 0.078609 0.189915 -0.185433
171 11.045090,-0.990479,13.252925 0.257755 0.055088 -0.076996
172 3.620985,9.103114,14.226787 0.106995 0.213327 -0.184617
173 3.507849,9.931819,13.689822 0.102913 0.213337 -0.176472
174 4.388466,8.362222,14.464274 0.117089 0.212487 -0.177431
175 4.586760,8.557612,14.287230 0.118356 0.213030 -0.169696
176 4.185734,8.921557,14.187005 0.113276 0.213855 -0.174766
177 2.729511,11.798991,12.314069 0.088743 0.198998 -0.178648
178 -16.873655,-3.623028,0.764343 -0.369899 -0.228170 -0.139622
179 -6.356616,-15.930399,2.136096 -0.560941 -0.487171 0.114894
180 -6.149789,-15.922136,2.723728 -0.561140 -0.496191 0.137088
181 -13.220854,-10.473001,3.760544 -0.636284 -0.201035 0.256464
182 -17.121618,-2.237078,0.494199 -0.239117 -0.051960 -0.299935
183 -17.084517,-2.459575,0.689047 -0.273119 -0.081447 -0.267188
184 -13.998802,-9.530142,3.435145 -0.633440 -0.214012 0.271125
